time,temperature,humidity,windspeed,city
2025-10-08T07:00,28.7,82,2.1,Hanoi
2025-10-08T08:00,28.7,81,1.8,Hanoi
2025-10-08T09:00,28.6,81,2.5,Hanoi
2025-10-08T10:00,28.2,82,2.1,Hanoi
2025-10-08T11:00,27.6,85,1.1,Hanoi
2025-10-08T12:00,27.0,87,1.6,Hanoi
2025-10-08T13:00,26.5,89,1.9,Hanoi
2025-10-08T14:00,26.0,91,2.3,Hanoi
2025-10-08T15:00,25.6,93,2.6,Hanoi
2025-10-08T16:00,25.3,94,2.9,Hanoi
2025-10-08T17:00,25.0,94,2.9,Hanoi
2025-10-08T18:00,24.7,95,3.3,Hanoi
2025-10-08T19:00,24.4,96,3.4,Hanoi
2025-10-08T20:00,24.0,97,3.9,Hanoi
2025-10-08T21:00,23.9,97,3.9,Hanoi
2025-10-08T22:00,23.9,97,4.2,Hanoi
2025-10-08T23:00,24.2,96,4.8,Hanoi
2025-10-09T00:00,24.9,94,4.9,Hanoi
2025-10-09T01:00,26.2,89,5.2,Hanoi
2025-10-09T02:00,27.9,83,5.7,Hanoi
2025-10-09T03:00,29.4,77,6.2,Hanoi
2025-10-09T04:00,30.4,72,5.2,Hanoi
2025-10-09T05:00,31.2,67,3.6,Hanoi
2025-10-09T06:00,31.8,63,2.6,Hanoi
2025-10-09T07:00,32.1,61,3.1,Hanoi
2025-10-09T08:00,32.2,60,4.7,Hanoi
2025-10-09T09:00,31.9,61,5.4,Hanoi
2025-10-09T10:00,30.9,65,5.0,Hanoi
2025-10-09T11:00,29.6,72,4.8,Hanoi
2025-10-09T12:00,28.3,77,4.7,Hanoi
2025-10-09T13:00,27.4,81,4.8,Hanoi
2025-10-09T14:00,26.6,84,4.8,Hanoi
2025-10-09T15:00,26.0,86,4.5,Hanoi
2025-10-09T16:00,25.5,88,3.7,Hanoi
2025-10-09T17:00,25.1,90,2.4,Hanoi
2025-10-09T18:00,24.8,91,1.6,Hanoi
2025-10-09T19:00,24.4,92,0.8,Hanoi
2025-10-09T20:00,24.0,94,0.4,Hanoi
2025-10-09T21:00,23.8,95,0.8,Hanoi
2025-10-09T22:00,23.6,97,1.6,Hanoi
2025-10-09T23:00,23.6,98,1.9,Hanoi
2025-10-10T00:00,24.1,97,2.4,Hanoi
2025-10-10T01:00,25.6,93,2.8,Hanoi
2025-10-10T02:00,27.7,86,2.9,Hanoi
2025-10-10T03:00,29.6,79,3.0,Hanoi
2025-10-10T04:00,30.8,72,2.3,Hanoi
2025-10-10T05:00,31.8,64,3.1,Hanoi
2025-10-10T06:00,32.5,59,4.3,Hanoi
2025-10-10T07:00,32.8,56,5.4,Hanoi
2025-10-10T08:00,32.8,55,6.1,Hanoi
2025-10-10T09:00,32.4,56,6.1,Hanoi
2025-10-10T10:00,31.3,61,4.8,Hanoi
2025-10-10T11:00,29.9,68,3.3,Hanoi
2025-10-10T12:00,28.7,74,3.4,Hanoi
2025-10-10T13:00,27.8,79,4.0,Hanoi
2025-10-10T14:00,27.2,82,4.5,Hanoi
2025-10-10T15:00,26.6,85,4.6,Hanoi
2025-10-10T16:00,26.1,86,4.3,Hanoi
2025-10-10T17:00,25.7,87,3.6,Hanoi
2025-10-10T18:00,25.4,87,3.1,Hanoi
2025-10-10T19:00,25.0,87,2.3,Hanoi
2025-10-10T20:00,24.7,87,1.1,Hanoi
2025-10-10T21:00,24.4,88,0.5,Hanoi
2025-10-10T22:00,24.2,90,0.8,Hanoi
2025-10-10T23:00,24.1,92,1.5,Hanoi
2025-10-04T00:00,26.3,95,1.8,HCM
2025-10-04T01:00,27.7,84,2.5,HCM
2025-10-04T02:00,29.1,75,4.3,HCM
2025-10-04T03:00,30.2,68,5.9,HCM
2025-10-04T04:00,31.2,63,8.7,HCM
2025-10-04T05:00,32.0,60,8.4,HCM
2025-10-04T06:00,32.3,61,8.9,HCM
2025-10-04T07:00,32.2,62,8.9,HCM
2025-10-04T08:00,31.7,64,10.0,HCM
2025-10-04T09:00,30.1,73,11.7,HCM
2025-10-04T10:00,29.0,76,10.4,HCM
2025-10-04T11:00,27.7,82,9.4,HCM
2025-10-04T12:00,26.8,87,6.8,HCM
2025-10-04T13:00,26.4,89,5.2,HCM
2025-10-04T14:00,26.2,89,4.3,HCM
2025-10-04T15:00,26.0,90,4.0,HCM
2025-10-04T16:00,25.8,91,2.6,HCM
2025-10-04T17:00,25.6,92,2.4,HCM
2025-10-04T18:00,25.3,93,2.1,HCM
2025-10-04T19:00,25.2,93,1.1,HCM
2025-10-04T20:00,24.9,94,1.8,HCM
2025-10-04T21:00,24.7,95,2.1,HCM
2025-10-04T22:00,24.4,96,3.1,HCM
2025-10-04T23:00,24.4,96,3.8,HCM
2025-10-05T00:00,25.3,94,3.6,HCM
2025-10-05T01:00,26.9,88,6.0,HCM
2025-10-05T02:00,28.6,79,8.6,HCM
2025-10-05T03:00,30.0,71,10.3,HCM
2025-10-05T04:00,31.2,65,11.5,HCM
2025-10-05T05:00,32.0,59,11.8,HCM
2025-10-05T06:00,32.7,56,12.2,HCM
2025-10-05T07:00,33.1,54,11.5,HCM
2025-10-05T08:00,32.9,55,11.5,HCM
2025-10-05T09:00,32.9,53,9.4,HCM
2025-10-05T10:00,31.7,57,9.8,HCM
2025-10-05T11:00,29.5,73,8.8,HCM
2025-10-05T12:00,28.3,83,7.1,HCM
2025-10-05T13:00,28.0,87,4.7,HCM
2025-10-05T14:00,27.7,88,2.9,HCM
2025-10-05T15:00,27.4,89,3.8,HCM
2025-10-05T16:00,27.0,89,5.4,HCM
2025-10-05T17:00,26.6,90,5.5,HCM
2025-10-05T18:00,26.2,91,6.0,HCM
2025-10-05T19:00,25.9,91,5.2,HCM
2025-10-05T20:00,25.6,92,4.1,HCM
2025-10-05T21:00,25.4,93,3.0,HCM
2025-10-05T22:00,25.2,94,2.9,HCM
2025-10-05T23:00,25.1,95,3.1,HCM
2025-10-06T00:00,26.0,92,4.8,HCM
2025-10-06T01:00,27.6,84,8.8,HCM
2025-10-06T02:00,29.3,75,9.4,HCM
2025-10-06T03:00,30.4,67,10.0,HCM
2025-10-06T04:00,31.7,61,11.4,HCM
2025-10-06T05:00,32.6,58,11.7,HCM
2025-10-06T06:00,33.0,56,10.7,HCM
2025-10-06T07:00,33.4,54,10.7,HCM
2025-10-06T08:00,33.2,54,9.5,HCM
2025-10-06T09:00,32.8,55,9.0,HCM
2025-10-06T10:00,31.5,59,9.8,HCM
2025-10-06T11:00,29.3,72,1.1,HCM
2025-10-06T12:00,28.5,78,4.9,HCM
2025-10-06T13:00,28.0,81,6.8,HCM
2025-10-06T14:00,27.2,85,6.2,HCM
2025-10-06T15:00,26.7,87,7.1,HCM
2025-10-06T16:00,26.4,87,6.9,HCM
2025-10-06T17:00,26.2,89,7.7,HCM
2025-10-06T18:00,26.0,91,6.9,HCM
2025-10-06T19:00,25.6,93,6.5,HCM
2025-10-06T20:00,25.5,94,5.8,HCM
2025-10-06T21:00,25.3,95,4.6,HCM
2025-10-06T22:00,25.0,95,4.2,HCM
2025-10-06T23:00,24.9,96,3.1,HCM
2025-10-07T00:00,25.9,93,3.6,HCM
2025-10-07T01:00,27.6,84,8.2,HCM
2025-10-07T02:00,28.4,80,8.7,HCM
