time,temperature,humidity,wind,city
2025-09-26T03:00,28.8,71,9.7,Hà Nội
2025-09-26T04:00,29.4,69,10.5,Hà Nội
2025-09-26T05:00,29.8,68,11.0,Hà Nội
2025-09-26T06:00,30.0,68,11.1,Hà Nội
2025-09-26T07:00,30.1,68,9.4,Hà Nội
2025-09-26T08:00,30.1,68,7.6,Hà Nội
2025-09-26T09:00,29.8,70,6.5,Hà Nội
2025-09-26T10:00,29.0,75,5.4,Hà Nội
2025-09-26T11:00,28.1,81,4.4,Hà Nội
2025-09-26T12:00,27.3,86,3.6,Hà Nội
2025-09-26T13:00,26.9,88,3.4,Hà Nội
2025-09-26T14:00,26.7,88,4.8,Hà Nội
2025-09-26T15:00,26.6,88,5.6,Hà Nội
2025-09-26T16:00,26.3,89,5.4,Hà Nội
2025-09-26T17:00,26.1,91,4.6,Hà Nội
2025-09-26T18:00,25.9,92,4.4,Hà Nội
2025-09-26T19:00,25.7,93,4.8,Hà Nội
2025-09-26T20:00,25.5,94,5.4,Hà Nội
2025-09-26T21:00,25.4,94,6.0,Hà Nội
2025-09-26T22:00,25.3,94,6.0,Hà Nội
2025-09-26T23:00,25.3,95,5.5,Hà Nội
2025-09-27T00:00,25.5,94,5.4,Hà Nội
2025-09-27T01:00,26.1,92,5.6,Hà Nội
2025-09-27T02:00,26.8,89,6.4,Hà Nội
2025-09-27T03:00,27.3,87,7.1,Hà Nội
2025-09-27T04:00,27.4,87,6.9,Hà Nội
2025-09-27T05:00,27.4,88,7.1,Hà Nội
2025-09-27T06:00,27.3,88,7.5,Hà Nội
2025-09-27T07:00,27.3,88,6.7,Hà Nội
2025-09-27T08:00,27.3,87,5.0,Hà Nội
2025-09-27T09:00,27.1,87,4.0,Hà Nội
2025-09-27T10:00,26.7,88,4.2,Hà Nội
2025-09-27T11:00,26.1,90,5.2,Hà Nội
2025-09-27T12:00,25.6,91,5.9,Hà Nội
2025-09-27T13:00,25.4,92,6.2,Hà Nội
2025-09-27T14:00,25.2,92,6.2,Hà Nội
2025-09-27T15:00,25.1,92,6.3,Hà Nội
2025-09-27T16:00,25.0,92,6.4,Hà Nội
2025-09-27T17:00,24.9,92,6.5,Hà Nội
2025-09-27T18:00,24.8,92,6.3,Hà Nội
2025-09-27T19:00,24.7,92,5.6,Hà Nội
2025-09-27T20:00,24.6,93,5.0,Hà Nội
2025-09-27T21:00,24.6,93,4.7,Hà Nội
2025-09-27T22:00,24.5,93,5.0,Hà Nội
2025-09-27T23:00,24.5,94,5.8,Hà Nội
2025-09-28T00:00,24.8,93,6.8,Hà Nội
2025-09-28T01:00,25.4,91,8.4,Hà Nội
2025-09-28T02:00,26.2,88,10.7,Hà Nội
2025-09-28T03:00,27.1,85,11.8,Hà Nội
2025-09-28T04:00,27.9,82,11.2,Hà Nội
2025-09-28T05:00,28.7,80,10.1,Hà Nội
2025-09-28T06:00,29.2,78,8.9,Hà Nội
2025-09-28T07:00,29.4,78,7.6,Hà Nội
2025-09-28T08:00,29.3,79,6.4,Hà Nội
2025-09-28T09:00,28.9,80,5.3,Hà Nội
2025-09-28T10:00,28.1,82,5.0,Hà Nội
2025-09-28T11:00,27.1,85,4.8,Hà Nội
2025-09-28T12:00,26.2,87,5.1,Hà Nội
2025-09-28T13:00,25.8,87,5.4,Hà Nội
2025-09-28T14:00,25.6,87,5.8,Hà Nội
2025-09-28T15:00,25.4,87,5.8,Hà Nội
2025-09-28T16:00,25.2,88,5.9,Hà Nội
2025-09-28T17:00,24.9,88,6.1,Hà Nội
2025-09-28T18:00,24.7,89,6.7,Hà Nội
2025-09-28T19:00,24.7,90,7.1,Hà Nội
2025-09-28T20:00,24.7,90,7.9,Hà Nội
2025-09-28T21:00,24.7,90,8.4,Hà Nội
2025-09-28T22:00,24.7,90,8.7,Hà Nội
2025-09-28T23:00,24.6,89,9.2,Hà Nội
2025-09-22T00:00,26.3,92,5.0,TP.HCM
2025-09-22T01:00,26.7,90,9.5,TP.HCM
2025-09-22T02:00,26.6,90,12.2,TP.HCM
2025-09-22T03:00,27.1,87,13.9,TP.HCM
2025-09-22T04:00,27.8,83,15.6,TP.HCM
2025-09-22T05:00,28.6,79,16.9,TP.HCM
2025-09-22T06:00,28.9,77,16.6,TP.HCM
2025-09-22T07:00,28.6,82,14.6,TP.HCM
2025-09-22T08:00,27.8,85,13.8,TP.HCM
2025-09-22T09:00,27.0,87,10.2,TP.HCM
2025-09-22T10:00,27.0,89,7.6,TP.HCM
2025-09-22T11:00,26.5,91,6.6,TP.HCM
2025-09-22T12:00,26.3,93,3.6,TP.HCM
2025-09-22T13:00,26.1,93,3.3,TP.HCM
2025-09-22T14:00,25.9,94,3.9,TP.HCM
2025-09-22T15:00,25.8,94,4.6,TP.HCM
2025-09-22T16:00,25.6,95,5.2,TP.HCM
2025-09-22T17:00,25.5,95,5.1,TP.HCM
2025-09-22T18:00,25.5,94,5.9,TP.HCM
2025-09-22T19:00,25.5,92,7.1,TP.HCM
2025-09-22T20:00,25.3,90,7.4,TP.HCM
2025-09-22T21:00,25.1,89,7.8,TP.HCM
2025-09-22T22:00,25.0,89,7.3,TP.HCM
2025-09-22T23:00,25.0,90,7.2,TP.HCM
2025-09-23T00:00,25.3,91,7.9,TP.HCM
2025-09-23T01:00,26.2,89,9.0,TP.HCM
2025-09-23T02:00,27.3,86,11.2,TP.HCM
2025-09-23T03:00,28.3,82,13.0,TP.HCM
2025-09-23T04:00,29.0,75,17.8,TP.HCM
2025-09-23T05:00,29.3,75,17.7,TP.HCM
2025-09-23T06:00,29.3,76,15.3,TP.HCM
2025-09-23T07:00,29.4,76,12.2,TP.HCM
2025-09-23T08:00,29.8,74,12.0,TP.HCM
2025-09-23T09:00,29.9,75,8.6,TP.HCM
2025-09-23T10:00,29.1,78,6.7,TP.HCM
2025-09-23T11:00,28.2,84,1.6,TP.HCM
2025-09-23T12:00,27.6,88,2.4,TP.HCM
2025-09-23T13:00,27.1,91,2.2,TP.HCM
2025-09-23T14:00,26.9,92,1.0,TP.HCM
2025-09-23T15:00,26.9,91,4.0,TP.HCM
2025-09-23T16:00,26.6,90,6.2,TP.HCM
2025-09-23T17:00,26.3,88,8.3,TP.HCM
2025-09-23T18:00,26.0,88,8.8,TP.HCM
2025-09-23T19:00,25.6,90,8.7,TP.HCM
2025-09-23T20:00,25.4,91,8.0,TP.HCM
2025-09-23T21:00,25.3,91,7.3,TP.HCM
2025-09-23T22:00,25.1,92,6.2,TP.HCM
2025-09-23T23:00,25.0,93,6.5,TP.HCM
2025-09-24T00:00,26.0,90,8.1,TP.HCM
2025-09-24T01:00,27.4,85,10.9,TP.HCM
2025-09-24T02:00,29.2,78,13.4,TP.HCM
2025-09-24T03:00,30.7,66,17.7,TP.HCM
2025-09-24T04:00,31.4,61,20.4,TP.HCM
2025-09-24T05:00,32.6,57,21.1,TP.HCM
2025-09-24T06:00,33.0,56,18.7,TP.HCM
2025-09-24T07:00,32.3,59,15.2,TP.HCM
2025-09-24T08:00,29.7,74,13.4,TP.HCM
2025-09-24T09:00,29.3,77,9.3,TP.HCM
2025-09-24T10:00,29.4,78,8.1,TP.HCM
2025-09-24T11:00,28.7,80,7.4,TP.HCM
2025-09-24T12:00,28.1,81,7.9,TP.HCM
2025-09-24T13:00,27.7,80,10.6,TP.HCM
2025-09-24T14:00,27.2,80,11.6,TP.HCM
2025-09-24T15:00,26.7,83,10.9,TP.HCM
2025-09-24T16:00,26.4,86,10.5,TP.HCM
2025-09-24T17:00,26.1,88,9.8,TP.HCM
